Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;62;Uarini ;AM;1304260
2010;20 a 24 anos;78;Uarini ;AM;1304260
2010;25 a 29 anos;61;Uarini ;AM;1304260
2010;30 a 34 anos;50;Uarini ;AM;1304260
2010;35 a 39 anos;27;Uarini ;AM;1304260
2010;40 a 44 anos;0;Uarini ;AM;1304260
2010;45 a 49 anos;0;Uarini ;AM;1304260
2022;15 a 19 anos;72;Uarini ;AM;1304260
2022;20 a 24 anos;123;Uarini ;AM;1304260
2022;25 a 29 anos;73;Uarini ;AM;1304260
2022;30 a 34 anos;54;Uarini ;AM;1304260
2022;35 a 39 anos;36;Uarini ;AM;1304260
2022;40 a 44 anos;8;Uarini ;AM;1304260
2022;45 a 49 anos;0;Uarini ;AM;1304260
