Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;211;Uruará ;PA;1508159
2010;20 a 24 anos;329;Uruará ;PA;1508159
2010;25 a 29 anos;304;Uruará ;PA;1508159
2010;30 a 34 anos;138;Uruará ;PA;1508159
2010;35 a 39 anos;27;Uruará ;PA;1508159
2010;40 a 44 anos;47;Uruará ;PA;1508159
2010;45 a 49 anos;0;Uruará ;PA;1508159
2022;15 a 19 anos;181;Uruará ;PA;1508159
2022;20 a 24 anos;156;Uruará ;PA;1508159
2022;25 a 29 anos;172;Uruará ;PA;1508159
2022;30 a 34 anos;156;Uruará ;PA;1508159
2022;35 a 39 anos;75;Uruará ;PA;1508159
2022;40 a 44 anos;30;Uruará ;PA;1508159
2022;45 a 49 anos;9;Uruará ;PA;1508159
