Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;71;Vitória do Xingu ;PA;1508357
2010;20 a 24 anos;69;Vitória do Xingu ;PA;1508357
2010;25 a 29 anos;25;Vitória do Xingu ;PA;1508357
2010;30 a 34 anos;17;Vitória do Xingu ;PA;1508357
2010;35 a 39 anos;7;Vitória do Xingu ;PA;1508357
2010;40 a 44 anos;0;Vitória do Xingu ;PA;1508357
2010;45 a 49 anos;0;Vitória do Xingu ;PA;1508357
2022;15 a 19 anos;41;Vitória do Xingu ;PA;1508357
2022;20 a 24 anos;88;Vitória do Xingu ;PA;1508357
2022;25 a 29 anos;65;Vitória do Xingu ;PA;1508357
2022;30 a 34 anos;59;Vitória do Xingu ;PA;1508357
2022;35 a 39 anos;23;Vitória do Xingu ;PA;1508357
2022;40 a 44 anos;0;Vitória do Xingu ;PA;1508357
2022;45 a 49 anos;4;Vitória do Xingu ;PA;1508357
