Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;58;Xapuri ;AC;1200708
2010;20 a 24 anos;72;Xapuri ;AC;1200708
2010;25 a 29 anos;25;Xapuri ;AC;1200708
2010;30 a 34 anos;26;Xapuri ;AC;1200708
2010;35 a 39 anos;14;Xapuri ;AC;1200708
2010;40 a 44 anos;19;Xapuri ;AC;1200708
2010;45 a 49 anos;5;Xapuri ;AC;1200708
2022;15 a 19 anos;88;Xapuri ;AC;1200708
2022;20 a 24 anos;98;Xapuri ;AC;1200708
2022;25 a 29 anos;75;Xapuri ;AC;1200708
2022;30 a 34 anos;33;Xapuri ;AC;1200708
2022;35 a 39 anos;34;Xapuri ;AC;1200708
2022;40 a 44 anos;19;Xapuri ;AC;1200708
2022;45 a 49 anos;7;Xapuri ;AC;1200708
