Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;0;Total;Acrelândia ;AC;1200013
95 a 99 anos;1;3;Total;Acrelândia ;AC;1200013
90 a 94 anos;6;10;Total;Acrelândia ;AC;1200013
85 a 89 anos;24;27;Total;Acrelândia ;AC;1200013
80 a 84 anos;39;64;Total;Acrelândia ;AC;1200013
75 a 79 anos;68;91;Total;Acrelândia ;AC;1200013
70 a 74 anos;104;173;Total;Acrelândia ;AC;1200013
65 a 69 anos;171;211;Total;Acrelândia ;AC;1200013
60 a 64 anos;239;282;Total;Acrelândia ;AC;1200013
55 a 59 anos;287;326;Total;Acrelândia ;AC;1200013
50 a 54 anos;326;362;Total;Acrelândia ;AC;1200013
45 a 49 anos;370;418;Total;Acrelândia ;AC;1200013
40 a 44 anos;525;528;Total;Acrelândia ;AC;1200013
35 a 39 anos;507;497;Total;Acrelândia ;AC;1200013
30 a 34 anos;518;491;Total;Acrelândia ;AC;1200013
25 a 29 anos;542;510;Total;Acrelândia ;AC;1200013
20 a 24 anos;601;573;Total;Acrelândia ;AC;1200013
15 a 19 anos;598;687;Total;Acrelândia ;AC;1200013
10 a 14 anos;594;658;Total;Acrelândia ;AC;1200013
5 a 9 anos;659;610;Total;Acrelândia ;AC;1200013
0 a 4 anos;687;633;Total;Acrelândia ;AC;1200013
