Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;5;Total;Altamira ;PA;1500602
95 a 99 anos;18;27;Total;Altamira ;PA;1500602
90 a 94 anos;93;79;Total;Altamira ;PA;1500602
85 a 89 anos;185;204;Total;Altamira ;PA;1500602
80 a 84 anos;435;376;Total;Altamira ;PA;1500602
75 a 79 anos;635;622;Total;Altamira ;PA;1500602
70 a 74 anos;943;1049;Total;Altamira ;PA;1500602
65 a 69 anos;1432;1494;Total;Altamira ;PA;1500602
60 a 64 anos;1970;2066;Total;Altamira ;PA;1500602
55 a 59 anos;2601;2579;Total;Altamira ;PA;1500602
50 a 54 anos;3137;3217;Total;Altamira ;PA;1500602
45 a 49 anos;3812;3807;Total;Altamira ;PA;1500602
40 a 44 anos;4862;4773;Total;Altamira ;PA;1500602
35 a 39 anos;5407;5036;Total;Altamira ;PA;1500602
30 a 34 anos;5341;5096;Total;Altamira ;PA;1500602
25 a 29 anos;5587;5366;Total;Altamira ;PA;1500602
20 a 24 anos;5664;5379;Total;Altamira ;PA;1500602
15 a 19 anos;5396;5363;Total;Altamira ;PA;1500602
10 a 14 anos;5153;5309;Total;Altamira ;PA;1500602
5 a 9 anos;5565;5767;Total;Altamira ;PA;1500602
0 a 4 anos;5098;5328;Total;Altamira ;PA;1500602
