Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Alvarães ;AM;1300029
95 a 99 anos;4;3;Total;Alvarães ;AM;1300029
90 a 94 anos;11;7;Total;Alvarães ;AM;1300029
85 a 89 anos;24;16;Total;Alvarães ;AM;1300029
80 a 84 anos;35;45;Total;Alvarães ;AM;1300029
75 a 79 anos;72;71;Total;Alvarães ;AM;1300029
70 a 74 anos;75;104;Total;Alvarães ;AM;1300029
65 a 69 anos;109;145;Total;Alvarães ;AM;1300029
60 a 64 anos;155;179;Total;Alvarães ;AM;1300029
55 a 59 anos;207;229;Total;Alvarães ;AM;1300029
50 a 54 anos;240;294;Total;Alvarães ;AM;1300029
45 a 49 anos;301;352;Total;Alvarães ;AM;1300029
40 a 44 anos;378;447;Total;Alvarães ;AM;1300029
35 a 39 anos;459;501;Total;Alvarães ;AM;1300029
30 a 34 anos;535;598;Total;Alvarães ;AM;1300029
25 a 29 anos;648;671;Total;Alvarães ;AM;1300029
20 a 24 anos;789;824;Total;Alvarães ;AM;1300029
15 a 19 anos;876;927;Total;Alvarães ;AM;1300029
10 a 14 anos;888;891;Total;Alvarães ;AM;1300029
5 a 9 anos;871;934;Total;Alvarães ;AM;1300029
0 a 4 anos;952;996;Total;Alvarães ;AM;1300029
