Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;0;Total;Anapu ;PA;1500859
95 a 99 anos;2;2;Total;Anapu ;PA;1500859
90 a 94 anos;9;20;Total;Anapu ;PA;1500859
85 a 89 anos;33;34;Total;Anapu ;PA;1500859
80 a 84 anos;47;88;Total;Anapu ;PA;1500859
75 a 79 anos;98;143;Total;Anapu ;PA;1500859
70 a 74 anos;166;241;Total;Anapu ;PA;1500859
65 a 69 anos;305;399;Total;Anapu ;PA;1500859
60 a 64 anos;361;499;Total;Anapu ;PA;1500859
55 a 59 anos;482;672;Total;Anapu ;PA;1500859
50 a 54 anos;574;760;Total;Anapu ;PA;1500859
45 a 49 anos;776;888;Total;Anapu ;PA;1500859
40 a 44 anos;1008;1121;Total;Anapu ;PA;1500859
35 a 39 anos;1239;1233;Total;Anapu ;PA;1500859
30 a 34 anos;1206;1246;Total;Anapu ;PA;1500859
25 a 29 anos;1352;1268;Total;Anapu ;PA;1500859
20 a 24 anos;1421;1444;Total;Anapu ;PA;1500859
15 a 19 anos;1500;1678;Total;Anapu ;PA;1500859
10 a 14 anos;1591;1614;Total;Anapu ;PA;1500859
5 a 9 anos;1558;1668;Total;Anapu ;PA;1500859
0 a 4 anos;1517;1587;Total;Anapu ;PA;1500859
