Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;1;Total;Assis Brasil ;AC;1200054
95 a 99 anos;2;0;Total;Assis Brasil ;AC;1200054
90 a 94 anos;5;7;Total;Assis Brasil ;AC;1200054
85 a 89 anos;11;9;Total;Assis Brasil ;AC;1200054
80 a 84 anos;29;21;Total;Assis Brasil ;AC;1200054
75 a 79 anos;39;42;Total;Assis Brasil ;AC;1200054
70 a 74 anos;52;63;Total;Assis Brasil ;AC;1200054
65 a 69 anos;86;90;Total;Assis Brasil ;AC;1200054
60 a 64 anos;104;132;Total;Assis Brasil ;AC;1200054
55 a 59 anos;126;137;Total;Assis Brasil ;AC;1200054
50 a 54 anos;175;175;Total;Assis Brasil ;AC;1200054
45 a 49 anos;218;224;Total;Assis Brasil ;AC;1200054
40 a 44 anos;242;266;Total;Assis Brasil ;AC;1200054
35 a 39 anos;281;275;Total;Assis Brasil ;AC;1200054
30 a 34 anos;298;322;Total;Assis Brasil ;AC;1200054
25 a 29 anos;324;311;Total;Assis Brasil ;AC;1200054
20 a 24 anos;337;307;Total;Assis Brasil ;AC;1200054
15 a 19 anos;382;418;Total;Assis Brasil ;AC;1200054
10 a 14 anos;422;461;Total;Assis Brasil ;AC;1200054
5 a 9 anos;399;424;Total;Assis Brasil ;AC;1200054
0 a 4 anos;432;451;Total;Assis Brasil ;AC;1200054
