Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;4;5;Total;Augusto Corrêa ;PA;1500909
95 a 99 anos;13;8;Total;Augusto Corrêa ;PA;1500909
90 a 94 anos;44;29;Total;Augusto Corrêa ;PA;1500909
85 a 89 anos;100;94;Total;Augusto Corrêa ;PA;1500909
80 a 84 anos;161;155;Total;Augusto Corrêa ;PA;1500909
75 a 79 anos;270;262;Total;Augusto Corrêa ;PA;1500909
70 a 74 anos;374;420;Total;Augusto Corrêa ;PA;1500909
65 a 69 anos;525;618;Total;Augusto Corrêa ;PA;1500909
60 a 64 anos;652;754;Total;Augusto Corrêa ;PA;1500909
55 a 59 anos;842;822;Total;Augusto Corrêa ;PA;1500909
50 a 54 anos;917;1027;Total;Augusto Corrêa ;PA;1500909
45 a 49 anos;1052;1244;Total;Augusto Corrêa ;PA;1500909
40 a 44 anos;1351;1479;Total;Augusto Corrêa ;PA;1500909
35 a 39 anos;1597;1664;Total;Augusto Corrêa ;PA;1500909
30 a 34 anos;1611;1682;Total;Augusto Corrêa ;PA;1500909
25 a 29 anos;1738;1804;Total;Augusto Corrêa ;PA;1500909
20 a 24 anos;1844;2024;Total;Augusto Corrêa ;PA;1500909
15 a 19 anos;2258;2344;Total;Augusto Corrêa ;PA;1500909
10 a 14 anos;2399;2384;Total;Augusto Corrêa ;PA;1500909
5 a 9 anos;2144;2133;Total;Augusto Corrêa ;PA;1500909
0 a 4 anos;1880;1845;Total;Augusto Corrêa ;PA;1500909
