Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;15;6;Total;Bagre ;PA;1501105
95 a 99 anos;10;12;Total;Bagre ;PA;1501105
90 a 94 anos;18;10;Total;Bagre ;PA;1501105
85 a 89 anos;33;34;Total;Bagre ;PA;1501105
80 a 84 anos;35;52;Total;Bagre ;PA;1501105
75 a 79 anos;67;100;Total;Bagre ;PA;1501105
70 a 74 anos;115;149;Total;Bagre ;PA;1501105
65 a 69 anos;177;224;Total;Bagre ;PA;1501105
60 a 64 anos;259;302;Total;Bagre ;PA;1501105
55 a 59 anos;329;344;Total;Bagre ;PA;1501105
50 a 54 anos;408;452;Total;Bagre ;PA;1501105
45 a 49 anos;553;649;Total;Bagre ;PA;1501105
40 a 44 anos;676;783;Total;Bagre ;PA;1501105
35 a 39 anos;926;992;Total;Bagre ;PA;1501105
30 a 34 anos;1062;1171;Total;Bagre ;PA;1501105
25 a 29 anos;1321;1334;Total;Bagre ;PA;1501105
20 a 24 anos;1565;1637;Total;Bagre ;PA;1501105
15 a 19 anos;1873;2007;Total;Bagre ;PA;1501105
10 a 14 anos;1860;1857;Total;Bagre ;PA;1501105
5 a 9 anos;2243;2198;Total;Bagre ;PA;1501105
0 a 4 anos;2094;1940;Total;Bagre ;PA;1501105
