Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Bonito ;PA;1501600
95 a 99 anos;7;6;Total;Bonito ;PA;1501600
90 a 94 anos;11;9;Total;Bonito ;PA;1501600
85 a 89 anos;26;32;Total;Bonito ;PA;1501600
80 a 84 anos;52;43;Total;Bonito ;PA;1501600
75 a 79 anos;89;82;Total;Bonito ;PA;1501600
70 a 74 anos;104;135;Total;Bonito ;PA;1501600
65 a 69 anos;155;222;Total;Bonito ;PA;1501600
60 a 64 anos;215;222;Total;Bonito ;PA;1501600
55 a 59 anos;281;275;Total;Bonito ;PA;1501600
50 a 54 anos;321;348;Total;Bonito ;PA;1501600
45 a 49 anos;323;409;Total;Bonito ;PA;1501600
40 a 44 anos;461;505;Total;Bonito ;PA;1501600
35 a 39 anos;523;557;Total;Bonito ;PA;1501600
30 a 34 anos;487;526;Total;Bonito ;PA;1501600
25 a 29 anos;527;497;Total;Bonito ;PA;1501600
20 a 24 anos;509;554;Total;Bonito ;PA;1501600
15 a 19 anos;618;575;Total;Bonito ;PA;1501600
10 a 14 anos;522;518;Total;Bonito ;PA;1501600
5 a 9 anos;466;476;Total;Bonito ;PA;1501600
0 a 4 anos;447;484;Total;Bonito ;PA;1501600
