Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;21;7;Total;Bragança ;PA;1501709
95 a 99 anos;39;14;Total;Bragança ;PA;1501709
90 a 94 anos;140;90;Total;Bragança ;PA;1501709
85 a 89 anos;316;215;Total;Bragança ;PA;1501709
80 a 84 anos;495;473;Total;Bragança ;PA;1501709
75 a 79 anos;887;806;Total;Bragança ;PA;1501709
70 a 74 anos;1227;1184;Total;Bragança ;PA;1501709
65 a 69 anos;1680;1743;Total;Bragança ;PA;1501709
60 a 64 anos;2115;2101;Total;Bragança ;PA;1501709
55 a 59 anos;2577;2421;Total;Bragança ;PA;1501709
50 a 54 anos;3053;3069;Total;Bragança ;PA;1501709
45 a 49 anos;3511;3864;Total;Bragança ;PA;1501709
40 a 44 anos;4501;4399;Total;Bragança ;PA;1501709
35 a 39 anos;4967;4907;Total;Bragança ;PA;1501709
30 a 34 anos;4973;4695;Total;Bragança ;PA;1501709
25 a 29 anos;4977;4927;Total;Bragança ;PA;1501709
20 a 24 anos;5184;5217;Total;Bragança ;PA;1501709
15 a 19 anos;5727;5993;Total;Bragança ;PA;1501709
10 a 14 anos;5398;5657;Total;Bragança ;PA;1501709
5 a 9 anos;5056;5088;Total;Bragança ;PA;1501709
0 a 4 anos;4657;4711;Total;Bragança ;PA;1501709
