Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;1;Total;Brasil Novo ;PA;1501725
95 a 99 anos;6;9;Total;Brasil Novo ;PA;1501725
90 a 94 anos;21;16;Total;Brasil Novo ;PA;1501725
85 a 89 anos;45;46;Total;Brasil Novo ;PA;1501725
80 a 84 anos;91;97;Total;Brasil Novo ;PA;1501725
75 a 79 anos;144;130;Total;Brasil Novo ;PA;1501725
70 a 74 anos;176;272;Total;Brasil Novo ;PA;1501725
65 a 69 anos;299;366;Total;Brasil Novo ;PA;1501725
60 a 64 anos;413;507;Total;Brasil Novo ;PA;1501725
55 a 59 anos;497;641;Total;Brasil Novo ;PA;1501725
50 a 54 anos;598;712;Total;Brasil Novo ;PA;1501725
45 a 49 anos;681;824;Total;Brasil Novo ;PA;1501725
40 a 44 anos;888;999;Total;Brasil Novo ;PA;1501725
35 a 39 anos;948;996;Total;Brasil Novo ;PA;1501725
30 a 34 anos;990;995;Total;Brasil Novo ;PA;1501725
25 a 29 anos;943;938;Total;Brasil Novo ;PA;1501725
20 a 24 anos;1045;1087;Total;Brasil Novo ;PA;1501725
15 a 19 anos;1119;1099;Total;Brasil Novo ;PA;1501725
10 a 14 anos;1027;1034;Total;Brasil Novo ;PA;1501725
5 a 9 anos;1148;1009;Total;Brasil Novo ;PA;1501725
0 a 4 anos;1004;857;Total;Brasil Novo ;PA;1501725
