Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;3;Total;Brasiléia ;AC;1200104
95 a 99 anos;4;10;Total;Brasiléia ;AC;1200104
90 a 94 anos;24;23;Total;Brasiléia ;AC;1200104
85 a 89 anos;43;53;Total;Brasiléia ;AC;1200104
80 a 84 anos;89;99;Total;Brasiléia ;AC;1200104
75 a 79 anos;118;160;Total;Brasiléia ;AC;1200104
70 a 74 anos;238;231;Total;Brasiléia ;AC;1200104
65 a 69 anos;306;336;Total;Brasiléia ;AC;1200104
60 a 64 anos;405;412;Total;Brasiléia ;AC;1200104
55 a 59 anos;523;572;Total;Brasiléia ;AC;1200104
50 a 54 anos;623;748;Total;Brasiléia ;AC;1200104
45 a 49 anos;745;776;Total;Brasiléia ;AC;1200104
40 a 44 anos;954;937;Total;Brasiléia ;AC;1200104
35 a 39 anos;961;930;Total;Brasiléia ;AC;1200104
30 a 34 anos;1057;992;Total;Brasiléia ;AC;1200104
25 a 29 anos;1114;1008;Total;Brasiléia ;AC;1200104
20 a 24 anos;1227;1149;Total;Brasiléia ;AC;1200104
15 a 19 anos;1089;1172;Total;Brasiléia ;AC;1200104
10 a 14 anos;1076;1177;Total;Brasiléia ;AC;1200104
5 a 9 anos;1116;1204;Total;Brasiléia ;AC;1200104
0 a 4 anos;1173;1120;Total;Brasiléia ;AC;1200104
