Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;1;Total;Bujari ;AC;1200138
95 a 99 anos;2;2;Total;Bujari ;AC;1200138
90 a 94 anos;5;7;Total;Bujari ;AC;1200138
85 a 89 anos;12;21;Total;Bujari ;AC;1200138
80 a 84 anos;39;52;Total;Bujari ;AC;1200138
75 a 79 anos;59;92;Total;Bujari ;AC;1200138
70 a 74 anos;116;140;Total;Bujari ;AC;1200138
65 a 69 anos;156;220;Total;Bujari ;AC;1200138
60 a 64 anos;244;277;Total;Bujari ;AC;1200138
55 a 59 anos;273;296;Total;Bujari ;AC;1200138
50 a 54 anos;300;398;Total;Bujari ;AC;1200138
45 a 49 anos;397;428;Total;Bujari ;AC;1200138
40 a 44 anos;475;488;Total;Bujari ;AC;1200138
35 a 39 anos;441;438;Total;Bujari ;AC;1200138
30 a 34 anos;422;400;Total;Bujari ;AC;1200138
25 a 29 anos;468;469;Total;Bujari ;AC;1200138
20 a 24 anos;526;515;Total;Bujari ;AC;1200138
15 a 19 anos;588;607;Total;Bujari ;AC;1200138
10 a 14 anos;548;703;Total;Bujari ;AC;1200138
5 a 9 anos;574;617;Total;Bujari ;AC;1200138
0 a 4 anos;556;544;Total;Bujari ;AC;1200138
