Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;9;6;Total;Capanema ;PA;1502202
95 a 99 anos;28;12;Total;Capanema ;PA;1502202
90 a 94 anos;102;63;Total;Capanema ;PA;1502202
85 a 89 anos;218;178;Total;Capanema ;PA;1502202
80 a 84 anos;356;310;Total;Capanema ;PA;1502202
75 a 79 anos;585;475;Total;Capanema ;PA;1502202
70 a 74 anos;749;784;Total;Capanema ;PA;1502202
65 a 69 anos;1197;1047;Total;Capanema ;PA;1502202
60 a 64 anos;1440;1237;Total;Capanema ;PA;1502202
55 a 59 anos;1788;1587;Total;Capanema ;PA;1502202
50 a 54 anos;2057;1845;Total;Capanema ;PA;1502202
45 a 49 anos;2380;2266;Total;Capanema ;PA;1502202
40 a 44 anos;2901;2591;Total;Capanema ;PA;1502202
35 a 39 anos;3107;2797;Total;Capanema ;PA;1502202
30 a 34 anos;2875;2763;Total;Capanema ;PA;1502202
25 a 29 anos;3021;2774;Total;Capanema ;PA;1502202
20 a 24 anos;2926;2928;Total;Capanema ;PA;1502202
15 a 19 anos;2906;2923;Total;Capanema ;PA;1502202
10 a 14 anos;2629;2806;Total;Capanema ;PA;1502202
5 a 9 anos;2558;2561;Total;Capanema ;PA;1502202
0 a 4 anos;2212;2397;Total;Capanema ;PA;1502202
