Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;0;Total;Capixaba ;AC;1200179
95 a 99 anos;1;3;Total;Capixaba ;AC;1200179
90 a 94 anos;9;8;Total;Capixaba ;AC;1200179
85 a 89 anos;8;12;Total;Capixaba ;AC;1200179
80 a 84 anos;37;40;Total;Capixaba ;AC;1200179
75 a 79 anos;48;67;Total;Capixaba ;AC;1200179
70 a 74 anos;94;124;Total;Capixaba ;AC;1200179
65 a 69 anos;129;168;Total;Capixaba ;AC;1200179
60 a 64 anos;204;232;Total;Capixaba ;AC;1200179
55 a 59 anos;240;311;Total;Capixaba ;AC;1200179
50 a 54 anos;279;319;Total;Capixaba ;AC;1200179
45 a 49 anos;330;335;Total;Capixaba ;AC;1200179
40 a 44 anos;338;367;Total;Capixaba ;AC;1200179
35 a 39 anos;359;361;Total;Capixaba ;AC;1200179
30 a 34 anos;329;304;Total;Capixaba ;AC;1200179
25 a 29 anos;378;359;Total;Capixaba ;AC;1200179
20 a 24 anos;408;432;Total;Capixaba ;AC;1200179
15 a 19 anos;455;527;Total;Capixaba ;AC;1200179
10 a 14 anos;442;538;Total;Capixaba ;AC;1200179
5 a 9 anos;443;484;Total;Capixaba ;AC;1200179
0 a 4 anos;423;447;Total;Capixaba ;AC;1200179
