Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;1;Total;Carauari ;AM;1301001
95 a 99 anos;4;5;Total;Carauari ;AM;1301001
90 a 94 anos;20;23;Total;Carauari ;AM;1301001
85 a 89 anos;52;32;Total;Carauari ;AM;1301001
80 a 84 anos;89;69;Total;Carauari ;AM;1301001
75 a 79 anos;128;143;Total;Carauari ;AM;1301001
70 a 74 anos;178;205;Total;Carauari ;AM;1301001
65 a 69 anos;229;290;Total;Carauari ;AM;1301001
60 a 64 anos;330;365;Total;Carauari ;AM;1301001
55 a 59 anos;428;508;Total;Carauari ;AM;1301001
50 a 54 anos;547;521;Total;Carauari ;AM;1301001
45 a 49 anos;637;673;Total;Carauari ;AM;1301001
40 a 44 anos;826;882;Total;Carauari ;AM;1301001
35 a 39 anos;964;1029;Total;Carauari ;AM;1301001
30 a 34 anos;1012;1043;Total;Carauari ;AM;1301001
25 a 29 anos;1279;1248;Total;Carauari ;AM;1301001
20 a 24 anos;1297;1475;Total;Carauari ;AM;1301001
15 a 19 anos;1590;1617;Total;Carauari ;AM;1301001
10 a 14 anos;1458;1540;Total;Carauari ;AM;1301001
5 a 9 anos;1514;1572;Total;Carauari ;AM;1301001
0 a 4 anos;1415;1502;Total;Carauari ;AM;1301001
