Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;3;Total;Colares ;PA;1502608
95 a 99 anos;9;3;Total;Colares ;PA;1502608
90 a 94 anos;16;13;Total;Colares ;PA;1502608
85 a 89 anos;37;42;Total;Colares ;PA;1502608
80 a 84 anos;78;55;Total;Colares ;PA;1502608
75 a 79 anos;115;113;Total;Colares ;PA;1502608
70 a 74 anos;174;171;Total;Colares ;PA;1502608
65 a 69 anos;206;221;Total;Colares ;PA;1502608
60 a 64 anos;246;265;Total;Colares ;PA;1502608
55 a 59 anos;304;312;Total;Colares ;PA;1502608
50 a 54 anos;367;366;Total;Colares ;PA;1502608
45 a 49 anos;345;384;Total;Colares ;PA;1502608
40 a 44 anos;431;458;Total;Colares ;PA;1502608
35 a 39 anos;504;451;Total;Colares ;PA;1502608
30 a 34 anos;505;479;Total;Colares ;PA;1502608
25 a 29 anos;478;458;Total;Colares ;PA;1502608
20 a 24 anos;465;482;Total;Colares ;PA;1502608
15 a 19 anos;558;616;Total;Colares ;PA;1502608
10 a 14 anos;581;553;Total;Colares ;PA;1502608
5 a 9 anos;534;538;Total;Colares ;PA;1502608
0 a 4 anos;469;463;Total;Colares ;PA;1502608
