Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;7;0;Total;Curuçá ;PA;1502905
95 a 99 anos;24;13;Total;Curuçá ;PA;1502905
90 a 94 anos;51;49;Total;Curuçá ;PA;1502905
85 a 89 anos;155;105;Total;Curuçá ;PA;1502905
80 a 84 anos;266;234;Total;Curuçá ;PA;1502905
75 a 79 anos;389;338;Total;Curuçá ;PA;1502905
70 a 74 anos;436;491;Total;Curuçá ;PA;1502905
65 a 69 anos;685;694;Total;Curuçá ;PA;1502905
60 a 64 anos;786;877;Total;Curuçá ;PA;1502905
55 a 59 anos;897;933;Total;Curuçá ;PA;1502905
50 a 54 anos;1029;1297;Total;Curuçá ;PA;1502905
45 a 49 anos;1311;1283;Total;Curuçá ;PA;1502905
40 a 44 anos;1426;1588;Total;Curuçá ;PA;1502905
35 a 39 anos;1757;1543;Total;Curuçá ;PA;1502905
30 a 34 anos;1503;1581;Total;Curuçá ;PA;1502905
25 a 29 anos;1574;1536;Total;Curuçá ;PA;1502905
20 a 24 anos;1625;1663;Total;Curuçá ;PA;1502905
15 a 19 anos;2033;1942;Total;Curuçá ;PA;1502905
10 a 14 anos;1619;1739;Total;Curuçá ;PA;1502905
5 a 9 anos;1581;1553;Total;Curuçá ;PA;1502905
0 a 4 anos;1363;1286;Total;Curuçá ;PA;1502905
