Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;2;Total;Cutias ;AP;1600212
95 a 99 anos;1;1;Total;Cutias ;AP;1600212
90 a 94 anos;3;1;Total;Cutias ;AP;1600212
85 a 89 anos;11;7;Total;Cutias ;AP;1600212
80 a 84 anos;10;9;Total;Cutias ;AP;1600212
75 a 79 anos;18;20;Total;Cutias ;AP;1600212
70 a 74 anos;29;41;Total;Cutias ;AP;1600212
65 a 69 anos;31;58;Total;Cutias ;AP;1600212
60 a 64 anos;59;70;Total;Cutias ;AP;1600212
55 a 59 anos;56;94;Total;Cutias ;AP;1600212
50 a 54 anos;77;97;Total;Cutias ;AP;1600212
45 a 49 anos;105;112;Total;Cutias ;AP;1600212
40 a 44 anos;138;125;Total;Cutias ;AP;1600212
35 a 39 anos;144;146;Total;Cutias ;AP;1600212
30 a 34 anos;152;178;Total;Cutias ;AP;1600212
25 a 29 anos;172;177;Total;Cutias ;AP;1600212
20 a 24 anos;179;202;Total;Cutias ;AP;1600212
15 a 19 anos;230;247;Total;Cutias ;AP;1600212
10 a 14 anos;262;215;Total;Cutias ;AP;1600212
5 a 9 anos;232;245;Total;Cutias ;AP;1600212
0 a 4 anos;259;244;Total;Cutias ;AP;1600212
