Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;5;2;Total;Eirunepé ;AM;1301407
95 a 99 anos;7;16;Total;Eirunepé ;AM;1301407
90 a 94 anos;33;16;Total;Eirunepé ;AM;1301407
85 a 89 anos;56;50;Total;Eirunepé ;AM;1301407
80 a 84 anos;110;87;Total;Eirunepé ;AM;1301407
75 a 79 anos;159;156;Total;Eirunepé ;AM;1301407
70 a 74 anos;200;213;Total;Eirunepé ;AM;1301407
65 a 69 anos;328;303;Total;Eirunepé ;AM;1301407
60 a 64 anos;382;392;Total;Eirunepé ;AM;1301407
55 a 59 anos;507;501;Total;Eirunepé ;AM;1301407
50 a 54 anos;550;604;Total;Eirunepé ;AM;1301407
45 a 49 anos;727;834;Total;Eirunepé ;AM;1301407
40 a 44 anos;1036;1070;Total;Eirunepé ;AM;1301407
35 a 39 anos;1047;1139;Total;Eirunepé ;AM;1301407
30 a 34 anos;1140;1145;Total;Eirunepé ;AM;1301407
25 a 29 anos;1286;1357;Total;Eirunepé ;AM;1301407
20 a 24 anos;1470;1533;Total;Eirunepé ;AM;1301407
15 a 19 anos;1874;1959;Total;Eirunepé ;AM;1301407
10 a 14 anos;1859;1866;Total;Eirunepé ;AM;1301407
5 a 9 anos;1825;1858;Total;Eirunepé ;AM;1301407
0 a 4 anos;1748;1720;Total;Eirunepé ;AM;1301407
