Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;1;Total;Envira ;AM;1301506
95 a 99 anos;3;4;Total;Envira ;AM;1301506
90 a 94 anos;18;20;Total;Envira ;AM;1301506
85 a 89 anos;37;32;Total;Envira ;AM;1301506
80 a 84 anos;45;34;Total;Envira ;AM;1301506
75 a 79 anos;60;58;Total;Envira ;AM;1301506
70 a 74 anos;91;77;Total;Envira ;AM;1301506
65 a 69 anos;133;142;Total;Envira ;AM;1301506
60 a 64 anos;172;181;Total;Envira ;AM;1301506
55 a 59 anos;254;274;Total;Envira ;AM;1301506
50 a 54 anos;262;348;Total;Envira ;AM;1301506
45 a 49 anos;379;401;Total;Envira ;AM;1301506
40 a 44 anos;541;578;Total;Envira ;AM;1301506
35 a 39 anos;538;610;Total;Envira ;AM;1301506
30 a 34 anos;604;607;Total;Envira ;AM;1301506
25 a 29 anos;680;778;Total;Envira ;AM;1301506
20 a 24 anos;859;879;Total;Envira ;AM;1301506
15 a 19 anos;929;958;Total;Envira ;AM;1301506
10 a 14 anos;877;853;Total;Envira ;AM;1301506
5 a 9 anos;948;988;Total;Envira ;AM;1301506
0 a 4 anos;965;968;Total;Envira ;AM;1301506
