Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Epitaciolândia ;AC;1200252
95 a 99 anos;5;4;Total;Epitaciolândia ;AC;1200252
90 a 94 anos;14;19;Total;Epitaciolândia ;AC;1200252
85 a 89 anos;21;29;Total;Epitaciolândia ;AC;1200252
80 a 84 anos;65;81;Total;Epitaciolândia ;AC;1200252
75 a 79 anos;95;109;Total;Epitaciolândia ;AC;1200252
70 a 74 anos;162;151;Total;Epitaciolândia ;AC;1200252
65 a 69 anos;211;258;Total;Epitaciolândia ;AC;1200252
60 a 64 anos;310;347;Total;Epitaciolândia ;AC;1200252
55 a 59 anos;400;401;Total;Epitaciolândia ;AC;1200252
50 a 54 anos;469;514;Total;Epitaciolândia ;AC;1200252
45 a 49 anos;558;539;Total;Epitaciolândia ;AC;1200252
40 a 44 anos;639;626;Total;Epitaciolândia ;AC;1200252
35 a 39 anos;722;721;Total;Epitaciolândia ;AC;1200252
30 a 34 anos;737;720;Total;Epitaciolândia ;AC;1200252
25 a 29 anos;837;812;Total;Epitaciolândia ;AC;1200252
20 a 24 anos;857;818;Total;Epitaciolândia ;AC;1200252
15 a 19 anos;775;795;Total;Epitaciolândia ;AC;1200252
10 a 14 anos;746;833;Total;Epitaciolândia ;AC;1200252
5 a 9 anos;880;846;Total;Epitaciolândia ;AC;1200252
0 a 4 anos;826;802;Total;Epitaciolândia ;AC;1200252
