Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;0;Total;Ferreira Gomes ;AP;1600238
95 a 99 anos;2;1;Total;Ferreira Gomes ;AP;1600238
90 a 94 anos;1;1;Total;Ferreira Gomes ;AP;1600238
85 a 89 anos;8;10;Total;Ferreira Gomes ;AP;1600238
80 a 84 anos;12;25;Total;Ferreira Gomes ;AP;1600238
75 a 79 anos;29;34;Total;Ferreira Gomes ;AP;1600238
70 a 74 anos;45;51;Total;Ferreira Gomes ;AP;1600238
65 a 69 anos;76;72;Total;Ferreira Gomes ;AP;1600238
60 a 64 anos;93;94;Total;Ferreira Gomes ;AP;1600238
55 a 59 anos;99;135;Total;Ferreira Gomes ;AP;1600238
50 a 54 anos;146;174;Total;Ferreira Gomes ;AP;1600238
45 a 49 anos;198;188;Total;Ferreira Gomes ;AP;1600238
40 a 44 anos;202;216;Total;Ferreira Gomes ;AP;1600238
35 a 39 anos;217;233;Total;Ferreira Gomes ;AP;1600238
30 a 34 anos;243;220;Total;Ferreira Gomes ;AP;1600238
25 a 29 anos;262;242;Total;Ferreira Gomes ;AP;1600238
20 a 24 anos;265;274;Total;Ferreira Gomes ;AP;1600238
15 a 19 anos;305;324;Total;Ferreira Gomes ;AP;1600238
10 a 14 anos;329;369;Total;Ferreira Gomes ;AP;1600238
5 a 9 anos;418;368;Total;Ferreira Gomes ;AP;1600238
0 a 4 anos;355;327;Total;Ferreira Gomes ;AP;1600238
