Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;5;Total;Gurupá ;PA;1503101
95 a 99 anos;6;6;Total;Gurupá ;PA;1503101
90 a 94 anos;21;17;Total;Gurupá ;PA;1503101
85 a 89 anos;60;51;Total;Gurupá ;PA;1503101
80 a 84 anos;109;96;Total;Gurupá ;PA;1503101
75 a 79 anos;169;154;Total;Gurupá ;PA;1503101
70 a 74 anos;189;198;Total;Gurupá ;PA;1503101
65 a 69 anos;249;292;Total;Gurupá ;PA;1503101
60 a 64 anos;326;426;Total;Gurupá ;PA;1503101
55 a 59 anos;392;492;Total;Gurupá ;PA;1503101
50 a 54 anos;469;658;Total;Gurupá ;PA;1503101
45 a 49 anos;667;803;Total;Gurupá ;PA;1503101
40 a 44 anos;843;943;Total;Gurupá ;PA;1503101
35 a 39 anos;998;1111;Total;Gurupá ;PA;1503101
30 a 34 anos;1105;1177;Total;Gurupá ;PA;1503101
25 a 29 anos;1300;1447;Total;Gurupá ;PA;1503101
20 a 24 anos;1540;1742;Total;Gurupá ;PA;1503101
15 a 19 anos;1777;1882;Total;Gurupá ;PA;1503101
10 a 14 anos;1618;1771;Total;Gurupá ;PA;1503101
5 a 9 anos;1610;1703;Total;Gurupá ;PA;1503101
0 a 4 anos;1630;1733;Total;Gurupá ;PA;1503101
