Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;8;8;Total;Igarapé-Açu ;PA;1503200
95 a 99 anos;13;7;Total;Igarapé-Açu ;PA;1503200
90 a 94 anos;41;37;Total;Igarapé-Açu ;PA;1503200
85 a 89 anos;102;70;Total;Igarapé-Açu ;PA;1503200
80 a 84 anos;218;175;Total;Igarapé-Açu ;PA;1503200
75 a 79 anos;279;278;Total;Igarapé-Açu ;PA;1503200
70 a 74 anos;426;437;Total;Igarapé-Açu ;PA;1503200
65 a 69 anos;583;555;Total;Igarapé-Açu ;PA;1503200
60 a 64 anos;759;731;Total;Igarapé-Açu ;PA;1503200
55 a 59 anos;861;805;Total;Igarapé-Açu ;PA;1503200
50 a 54 anos;1005;1003;Total;Igarapé-Açu ;PA;1503200
45 a 49 anos;1109;1115;Total;Igarapé-Açu ;PA;1503200
40 a 44 anos;1309;1302;Total;Igarapé-Açu ;PA;1503200
35 a 39 anos;1394;1394;Total;Igarapé-Açu ;PA;1503200
30 a 34 anos;1467;1317;Total;Igarapé-Açu ;PA;1503200
25 a 29 anos;1525;1409;Total;Igarapé-Açu ;PA;1503200
20 a 24 anos;1497;1453;Total;Igarapé-Açu ;PA;1503200
15 a 19 anos;1473;1575;Total;Igarapé-Açu ;PA;1503200
10 a 14 anos;1422;1433;Total;Igarapé-Açu ;PA;1503200
5 a 9 anos;1340;1396;Total;Igarapé-Açu ;PA;1503200
0 a 4 anos;1199;1267;Total;Igarapé-Açu ;PA;1503200
