Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;8;Total;Ipixuna ;AM;1301803
95 a 99 anos;2;7;Total;Ipixuna ;AM;1301803
90 a 94 anos;13;8;Total;Ipixuna ;AM;1301803
85 a 89 anos;20;15;Total;Ipixuna ;AM;1301803
80 a 84 anos;54;29;Total;Ipixuna ;AM;1301803
75 a 79 anos;56;82;Total;Ipixuna ;AM;1301803
70 a 74 anos;91;101;Total;Ipixuna ;AM;1301803
65 a 69 anos;158;178;Total;Ipixuna ;AM;1301803
60 a 64 anos;216;247;Total;Ipixuna ;AM;1301803
55 a 59 anos;259;303;Total;Ipixuna ;AM;1301803
50 a 54 anos;358;433;Total;Ipixuna ;AM;1301803
45 a 49 anos;498;502;Total;Ipixuna ;AM;1301803
40 a 44 anos;636;719;Total;Ipixuna ;AM;1301803
35 a 39 anos;791;862;Total;Ipixuna ;AM;1301803
30 a 34 anos;886;929;Total;Ipixuna ;AM;1301803
25 a 29 anos;1023;1066;Total;Ipixuna ;AM;1301803
20 a 24 anos;1377;1360;Total;Ipixuna ;AM;1301803
15 a 19 anos;1272;1342;Total;Ipixuna ;AM;1301803
10 a 14 anos;1228;1272;Total;Ipixuna ;AM;1301803
5 a 9 anos;1405;1433;Total;Ipixuna ;AM;1301803
0 a 4 anos;1564;1507;Total;Ipixuna ;AM;1301803
