Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;0;Total;Itamarati ;AM;1301951
95 a 99 anos;0;3;Total;Itamarati ;AM;1301951
90 a 94 anos;5;7;Total;Itamarati ;AM;1301951
85 a 89 anos;6;8;Total;Itamarati ;AM;1301951
80 a 84 anos;21;24;Total;Itamarati ;AM;1301951
75 a 79 anos;41;42;Total;Itamarati ;AM;1301951
70 a 74 anos;63;57;Total;Itamarati ;AM;1301951
65 a 69 anos;79;75;Total;Itamarati ;AM;1301951
60 a 64 anos;72;111;Total;Itamarati ;AM;1301951
55 a 59 anos;125;141;Total;Itamarati ;AM;1301951
50 a 54 anos;151;174;Total;Itamarati ;AM;1301951
45 a 49 anos;204;230;Total;Itamarati ;AM;1301951
40 a 44 anos;257;321;Total;Itamarati ;AM;1301951
35 a 39 anos;347;341;Total;Itamarati ;AM;1301951
30 a 34 anos;324;387;Total;Itamarati ;AM;1301951
25 a 29 anos;442;491;Total;Itamarati ;AM;1301951
20 a 24 anos;536;567;Total;Itamarati ;AM;1301951
15 a 19 anos;612;664;Total;Itamarati ;AM;1301951
10 a 14 anos;576;643;Total;Itamarati ;AM;1301951
5 a 9 anos;723;720;Total;Itamarati ;AM;1301951
0 a 4 anos;696;649;Total;Itamarati ;AM;1301951
