Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;0;Total;Itaubal ;AP;1600253
95 a 99 anos;1;0;Total;Itaubal ;AP;1600253
90 a 94 anos;3;0;Total;Itaubal ;AP;1600253
85 a 89 anos;8;5;Total;Itaubal ;AP;1600253
80 a 84 anos;13;12;Total;Itaubal ;AP;1600253
75 a 79 anos;22;36;Total;Itaubal ;AP;1600253
70 a 74 anos;29;41;Total;Itaubal ;AP;1600253
65 a 69 anos;44;64;Total;Itaubal ;AP;1600253
60 a 64 anos;72;97;Total;Itaubal ;AP;1600253
55 a 59 anos;84;97;Total;Itaubal ;AP;1600253
50 a 54 anos;103;117;Total;Itaubal ;AP;1600253
45 a 49 anos;122;122;Total;Itaubal ;AP;1600253
40 a 44 anos;186;196;Total;Itaubal ;AP;1600253
35 a 39 anos;197;201;Total;Itaubal ;AP;1600253
30 a 34 anos;171;186;Total;Itaubal ;AP;1600253
25 a 29 anos;208;215;Total;Itaubal ;AP;1600253
20 a 24 anos;244;221;Total;Itaubal ;AP;1600253
15 a 19 anos;262;332;Total;Itaubal ;AP;1600253
10 a 14 anos;294;322;Total;Itaubal ;AP;1600253
5 a 9 anos;293;304;Total;Itaubal ;AP;1600253
0 a 4 anos;345;330;Total;Itaubal ;AP;1600253
