Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;4;1;Total;Juruá ;AM;1302207
95 a 99 anos;3;0;Total;Juruá ;AM;1302207
90 a 94 anos;8;4;Total;Juruá ;AM;1302207
85 a 89 anos;19;18;Total;Juruá ;AM;1302207
80 a 84 anos;27;31;Total;Juruá ;AM;1302207
75 a 79 anos;42;37;Total;Juruá ;AM;1302207
70 a 74 anos;52;58;Total;Juruá ;AM;1302207
65 a 69 anos;77;92;Total;Juruá ;AM;1302207
60 a 64 anos;99;126;Total;Juruá ;AM;1302207
55 a 59 anos;124;168;Total;Juruá ;AM;1302207
50 a 54 anos;171;188;Total;Juruá ;AM;1302207
45 a 49 anos;247;256;Total;Juruá ;AM;1302207
40 a 44 anos;307;317;Total;Juruá ;AM;1302207
35 a 39 anos;336;374;Total;Juruá ;AM;1302207
30 a 34 anos;368;393;Total;Juruá ;AM;1302207
25 a 29 anos;452;500;Total;Juruá ;AM;1302207
20 a 24 anos;555;608;Total;Juruá ;AM;1302207
15 a 19 anos;625;629;Total;Juruá ;AM;1302207
10 a 14 anos;533;560;Total;Juruá ;AM;1302207
5 a 9 anos;568;616;Total;Juruá ;AM;1302207
0 a 4 anos;554;595;Total;Juruá ;AM;1302207
