Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;75;22;Total;Macapá ;AP;1600303
95 a 99 anos;114;65;Total;Macapá ;AP;1600303
90 a 94 anos;396;187;Total;Macapá ;AP;1600303
85 a 89 anos;858;526;Total;Macapá ;AP;1600303
80 a 84 anos;1426;1026;Total;Macapá ;AP;1600303
75 a 79 anos;2308;1782;Total;Macapá ;AP;1600303
70 a 74 anos;3348;2878;Total;Macapá ;AP;1600303
65 a 69 anos;5238;4498;Total;Macapá ;AP;1600303
60 a 64 anos;7121;6303;Total;Macapá ;AP;1600303
55 a 59 anos;8963;8142;Total;Macapá ;AP;1600303
50 a 54 anos;11660;10765;Total;Macapá ;AP;1600303
45 a 49 anos;14021;12853;Total;Macapá ;AP;1600303
40 a 44 anos;17136;15422;Total;Macapá ;AP;1600303
35 a 39 anos;18684;17285;Total;Macapá ;AP;1600303
30 a 34 anos;18693;17591;Total;Macapá ;AP;1600303
25 a 29 anos;20327;19231;Total;Macapá ;AP;1600303
20 a 24 anos;21285;20807;Total;Macapá ;AP;1600303
15 a 19 anos;19239;19784;Total;Macapá ;AP;1600303
10 a 14 anos;18327;19048;Total;Macapá ;AP;1600303
5 a 9 anos;18948;19603;Total;Macapá ;AP;1600303
0 a 4 anos;18214;18734;Total;Macapá ;AP;1600303
