Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;2;Total;Magalhães Barata ;PA;1504109
95 a 99 anos;2;2;Total;Magalhães Barata ;PA;1504109
90 a 94 anos;9;5;Total;Magalhães Barata ;PA;1504109
85 a 89 anos;23;29;Total;Magalhães Barata ;PA;1504109
80 a 84 anos;52;53;Total;Magalhães Barata ;PA;1504109
75 a 79 anos;86;64;Total;Magalhães Barata ;PA;1504109
70 a 74 anos;114;118;Total;Magalhães Barata ;PA;1504109
65 a 69 anos;155;159;Total;Magalhães Barata ;PA;1504109
60 a 64 anos;201;173;Total;Magalhães Barata ;PA;1504109
55 a 59 anos;176;212;Total;Magalhães Barata ;PA;1504109
50 a 54 anos;216;218;Total;Magalhães Barata ;PA;1504109
45 a 49 anos;211;298;Total;Magalhães Barata ;PA;1504109
40 a 44 anos;316;272;Total;Magalhães Barata ;PA;1504109
35 a 39 anos;297;303;Total;Magalhães Barata ;PA;1504109
30 a 34 anos;274;290;Total;Magalhães Barata ;PA;1504109
25 a 29 anos;279;286;Total;Magalhães Barata ;PA;1504109
20 a 24 anos;266;294;Total;Magalhães Barata ;PA;1504109
15 a 19 anos;316;384;Total;Magalhães Barata ;PA;1504109
10 a 14 anos;381;384;Total;Magalhães Barata ;PA;1504109
5 a 9 anos;315;329;Total;Magalhães Barata ;PA;1504109
0 a 4 anos;273;276;Total;Magalhães Barata ;PA;1504109
