Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;14;5;Total;Maracanã ;PA;1504307
95 a 99 anos;23;8;Total;Maracanã ;PA;1504307
90 a 94 anos;41;25;Total;Maracanã ;PA;1504307
85 a 89 anos;104;65;Total;Maracanã ;PA;1504307
80 a 84 anos;154;165;Total;Maracanã ;PA;1504307
75 a 79 anos;252;254;Total;Maracanã ;PA;1504307
70 a 74 anos;317;381;Total;Maracanã ;PA;1504307
65 a 69 anos;455;435;Total;Maracanã ;PA;1504307
60 a 64 anos;506;549;Total;Maracanã ;PA;1504307
55 a 59 anos;609;652;Total;Maracanã ;PA;1504307
50 a 54 anos;620;735;Total;Maracanã ;PA;1504307
45 a 49 anos;766;816;Total;Maracanã ;PA;1504307
40 a 44 anos;885;929;Total;Maracanã ;PA;1504307
35 a 39 anos;903;1002;Total;Maracanã ;PA;1504307
30 a 34 anos;915;924;Total;Maracanã ;PA;1504307
25 a 29 anos;978;1003;Total;Maracanã ;PA;1504307
20 a 24 anos;969;1070;Total;Maracanã ;PA;1504307
15 a 19 anos;1197;1254;Total;Maracanã ;PA;1504307
10 a 14 anos;1129;1142;Total;Maracanã ;PA;1504307
5 a 9 anos;922;995;Total;Maracanã ;PA;1504307
0 a 4 anos;920;883;Total;Maracanã ;PA;1504307
