Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;13;5;Total;Marapanim ;PA;1504406
95 a 99 anos;12;5;Total;Marapanim ;PA;1504406
90 a 94 anos;26;19;Total;Marapanim ;PA;1504406
85 a 89 anos;81;81;Total;Marapanim ;PA;1504406
80 a 84 anos;178;161;Total;Marapanim ;PA;1504406
75 a 79 anos;297;264;Total;Marapanim ;PA;1504406
70 a 74 anos;357;365;Total;Marapanim ;PA;1504406
65 a 69 anos;458;582;Total;Marapanim ;PA;1504406
60 a 64 anos;601;578;Total;Marapanim ;PA;1504406
55 a 59 anos;602;665;Total;Marapanim ;PA;1504406
50 a 54 anos;723;814;Total;Marapanim ;PA;1504406
45 a 49 anos;791;973;Total;Marapanim ;PA;1504406
40 a 44 anos;992;1055;Total;Marapanim ;PA;1504406
35 a 39 anos;969;1005;Total;Marapanim ;PA;1504406
30 a 34 anos;1096;955;Total;Marapanim ;PA;1504406
25 a 29 anos;955;975;Total;Marapanim ;PA;1504406
20 a 24 anos;921;1005;Total;Marapanim ;PA;1504406
15 a 19 anos;1003;1086;Total;Marapanim ;PA;1504406
10 a 14 anos;1008;1103;Total;Marapanim ;PA;1504406
5 a 9 anos;994;1064;Total;Marapanim ;PA;1504406
0 a 4 anos;849;887;Total;Marapanim ;PA;1504406
