Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;0;Total;Medicilândia ;PA;1504455
95 a 99 anos;4;3;Total;Medicilândia ;PA;1504455
90 a 94 anos;21;15;Total;Medicilândia ;PA;1504455
85 a 89 anos;30;50;Total;Medicilândia ;PA;1504455
80 a 84 anos;79;91;Total;Medicilândia ;PA;1504455
75 a 79 anos;114;203;Total;Medicilândia ;PA;1504455
70 a 74 anos;198;275;Total;Medicilândia ;PA;1504455
65 a 69 anos;310;406;Total;Medicilândia ;PA;1504455
60 a 64 anos;409;520;Total;Medicilândia ;PA;1504455
55 a 59 anos;482;743;Total;Medicilândia ;PA;1504455
50 a 54 anos;632;738;Total;Medicilândia ;PA;1504455
45 a 49 anos;704;925;Total;Medicilândia ;PA;1504455
40 a 44 anos;946;1102;Total;Medicilândia ;PA;1504455
35 a 39 anos;1014;1060;Total;Medicilândia ;PA;1504455
30 a 34 anos;1025;1065;Total;Medicilândia ;PA;1504455
25 a 29 anos;1001;1061;Total;Medicilândia ;PA;1504455
20 a 24 anos;1105;1191;Total;Medicilândia ;PA;1504455
15 a 19 anos;1160;1264;Total;Medicilândia ;PA;1504455
10 a 14 anos;1183;1285;Total;Medicilândia ;PA;1504455
5 a 9 anos;1131;1183;Total;Medicilândia ;PA;1504455
0 a 4 anos;1220;1145;Total;Medicilândia ;PA;1504455
