Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;15;3;Total;Melgaço ;PA;1504505
95 a 99 anos;9;6;Total;Melgaço ;PA;1504505
90 a 94 anos;16;10;Total;Melgaço ;PA;1504505
85 a 89 anos;29;23;Total;Melgaço ;PA;1504505
80 a 84 anos;36;49;Total;Melgaço ;PA;1504505
75 a 79 anos;71;91;Total;Melgaço ;PA;1504505
70 a 74 anos;102;169;Total;Melgaço ;PA;1504505
65 a 69 anos;170;195;Total;Melgaço ;PA;1504505
60 a 64 anos;203;255;Total;Melgaço ;PA;1504505
55 a 59 anos;270;282;Total;Melgaço ;PA;1504505
50 a 54 anos;358;428;Total;Melgaço ;PA;1504505
45 a 49 anos;477;555;Total;Melgaço ;PA;1504505
40 a 44 anos;605;720;Total;Melgaço ;PA;1504505
35 a 39 anos;750;886;Total;Melgaço ;PA;1504505
30 a 34 anos;846;943;Total;Melgaço ;PA;1504505
25 a 29 anos;1068;1130;Total;Melgaço ;PA;1504505
20 a 24 anos;1334;1516;Total;Melgaço ;PA;1504505
15 a 19 anos;1687;1829;Total;Melgaço ;PA;1504505
10 a 14 anos;1732;1839;Total;Melgaço ;PA;1504505
5 a 9 anos;1729;1790;Total;Melgaço ;PA;1504505
0 a 4 anos;1806;1849;Total;Melgaço ;PA;1504505
