Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;0;Total;Nova Timboteua ;PA;1505007
95 a 99 anos;9;6;Total;Nova Timboteua ;PA;1505007
90 a 94 anos;17;12;Total;Nova Timboteua ;PA;1505007
85 a 89 anos;52;41;Total;Nova Timboteua ;PA;1505007
80 a 84 anos;85;88;Total;Nova Timboteua ;PA;1505007
75 a 79 anos;139;138;Total;Nova Timboteua ;PA;1505007
70 a 74 anos;190;190;Total;Nova Timboteua ;PA;1505007
65 a 69 anos;249;261;Total;Nova Timboteua ;PA;1505007
60 a 64 anos;310;292;Total;Nova Timboteua ;PA;1505007
55 a 59 anos;350;344;Total;Nova Timboteua ;PA;1505007
50 a 54 anos;361;423;Total;Nova Timboteua ;PA;1505007
45 a 49 anos;431;479;Total;Nova Timboteua ;PA;1505007
40 a 44 anos;500;488;Total;Nova Timboteua ;PA;1505007
35 a 39 anos;515;515;Total;Nova Timboteua ;PA;1505007
30 a 34 anos;509;472;Total;Nova Timboteua ;PA;1505007
25 a 29 anos;443;423;Total;Nova Timboteua ;PA;1505007
20 a 24 anos;427;468;Total;Nova Timboteua ;PA;1505007
15 a 19 anos;482;544;Total;Nova Timboteua ;PA;1505007
10 a 14 anos;482;493;Total;Nova Timboteua ;PA;1505007
5 a 9 anos;398;447;Total;Nova Timboteua ;PA;1505007
0 a 4 anos;352;379;Total;Nova Timboteua ;PA;1505007
