Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;4;Total;Pacajá ;PA;1505486
95 a 99 anos;2;9;Total;Pacajá ;PA;1505486
90 a 94 anos;21;28;Total;Pacajá ;PA;1505486
85 a 89 anos;50;72;Total;Pacajá ;PA;1505486
80 a 84 anos;114;156;Total;Pacajá ;PA;1505486
75 a 79 anos;164;241;Total;Pacajá ;PA;1505486
70 a 74 anos;275;380;Total;Pacajá ;PA;1505486
65 a 69 anos;386;522;Total;Pacajá ;PA;1505486
60 a 64 anos;555;722;Total;Pacajá ;PA;1505486
55 a 59 anos;674;882;Total;Pacajá ;PA;1505486
50 a 54 anos;860;1070;Total;Pacajá ;PA;1505486
45 a 49 anos;1029;1206;Total;Pacajá ;PA;1505486
40 a 44 anos;1367;1547;Total;Pacajá ;PA;1505486
35 a 39 anos;1595;1672;Total;Pacajá ;PA;1505486
30 a 34 anos;1518;1620;Total;Pacajá ;PA;1505486
25 a 29 anos;1626;1710;Total;Pacajá ;PA;1505486
20 a 24 anos;1695;1884;Total;Pacajá ;PA;1505486
15 a 19 anos;1846;1976;Total;Pacajá ;PA;1505486
10 a 14 anos;1896;2013;Total;Pacajá ;PA;1505486
5 a 9 anos;1889;1970;Total;Pacajá ;PA;1505486
0 a 4 anos;1901;1948;Total;Pacajá ;PA;1505486
