Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Pedra Branca do Amapari ;AP;1600154
95 a 99 anos;3;2;Total;Pedra Branca do Amapari ;AP;1600154
90 a 94 anos;4;5;Total;Pedra Branca do Amapari ;AP;1600154
85 a 89 anos;9;12;Total;Pedra Branca do Amapari ;AP;1600154
80 a 84 anos;11;29;Total;Pedra Branca do Amapari ;AP;1600154
75 a 79 anos;22;35;Total;Pedra Branca do Amapari ;AP;1600154
70 a 74 anos;53;97;Total;Pedra Branca do Amapari ;AP;1600154
65 a 69 anos;72;129;Total;Pedra Branca do Amapari ;AP;1600154
60 a 64 anos;117;139;Total;Pedra Branca do Amapari ;AP;1600154
55 a 59 anos;181;209;Total;Pedra Branca do Amapari ;AP;1600154
50 a 54 anos;216;255;Total;Pedra Branca do Amapari ;AP;1600154
45 a 49 anos;277;314;Total;Pedra Branca do Amapari ;AP;1600154
40 a 44 anos;377;417;Total;Pedra Branca do Amapari ;AP;1600154
35 a 39 anos;484;497;Total;Pedra Branca do Amapari ;AP;1600154
30 a 34 anos;456;463;Total;Pedra Branca do Amapari ;AP;1600154
25 a 29 anos;514;491;Total;Pedra Branca do Amapari ;AP;1600154
20 a 24 anos;577;563;Total;Pedra Branca do Amapari ;AP;1600154
15 a 19 anos;616;647;Total;Pedra Branca do Amapari ;AP;1600154
10 a 14 anos;691;713;Total;Pedra Branca do Amapari ;AP;1600154
5 a 9 anos;686;786;Total;Pedra Branca do Amapari ;AP;1600154
0 a 4 anos;797;878;Total;Pedra Branca do Amapari ;AP;1600154
