Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;0;1;Total;Peixe-Boi ;PA;1505601
95 a 99 anos;4;5;Total;Peixe-Boi ;PA;1505601
90 a 94 anos;11;7;Total;Peixe-Boi ;PA;1505601
85 a 89 anos;34;35;Total;Peixe-Boi ;PA;1505601
80 a 84 anos;54;49;Total;Peixe-Boi ;PA;1505601
75 a 79 anos;73;73;Total;Peixe-Boi ;PA;1505601
70 a 74 anos;97;122;Total;Peixe-Boi ;PA;1505601
65 a 69 anos;151;189;Total;Peixe-Boi ;PA;1505601
60 a 64 anos;202;219;Total;Peixe-Boi ;PA;1505601
55 a 59 anos;226;248;Total;Peixe-Boi ;PA;1505601
50 a 54 anos;215;221;Total;Peixe-Boi ;PA;1505601
45 a 49 anos;261;288;Total;Peixe-Boi ;PA;1505601
40 a 44 anos;339;359;Total;Peixe-Boi ;PA;1505601
35 a 39 anos;327;358;Total;Peixe-Boi ;PA;1505601
30 a 34 anos;308;266;Total;Peixe-Boi ;PA;1505601
25 a 29 anos;290;243;Total;Peixe-Boi ;PA;1505601
20 a 24 anos;280;314;Total;Peixe-Boi ;PA;1505601
15 a 19 anos;329;367;Total;Peixe-Boi ;PA;1505601
10 a 14 anos;326;329;Total;Peixe-Boi ;PA;1505601
5 a 9 anos;294;273;Total;Peixe-Boi ;PA;1505601
0 a 4 anos;262;236;Total;Peixe-Boi ;PA;1505601
