Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;1;Total;Plácido de Castro ;AC;1200385
95 a 99 anos;4;1;Total;Plácido de Castro ;AC;1200385
90 a 94 anos;17;14;Total;Plácido de Castro ;AC;1200385
85 a 89 anos;34;41;Total;Plácido de Castro ;AC;1200385
80 a 84 anos;63;70;Total;Plácido de Castro ;AC;1200385
75 a 79 anos;110;131;Total;Plácido de Castro ;AC;1200385
70 a 74 anos;169;220;Total;Plácido de Castro ;AC;1200385
65 a 69 anos;197;287;Total;Plácido de Castro ;AC;1200385
60 a 64 anos;306;354;Total;Plácido de Castro ;AC;1200385
55 a 59 anos;375;400;Total;Plácido de Castro ;AC;1200385
50 a 54 anos;388;471;Total;Plácido de Castro ;AC;1200385
45 a 49 anos;545;513;Total;Plácido de Castro ;AC;1200385
40 a 44 anos;549;589;Total;Plácido de Castro ;AC;1200385
35 a 39 anos;609;588;Total;Plácido de Castro ;AC;1200385
30 a 34 anos;547;508;Total;Plácido de Castro ;AC;1200385
25 a 29 anos;595;603;Total;Plácido de Castro ;AC;1200385
20 a 24 anos;671;703;Total;Plácido de Castro ;AC;1200385
15 a 19 anos;723;795;Total;Plácido de Castro ;AC;1200385
10 a 14 anos;678;767;Total;Plácido de Castro ;AC;1200385
5 a 9 anos;753;746;Total;Plácido de Castro ;AC;1200385
0 a 4 anos;717;707;Total;Plácido de Castro ;AC;1200385
