Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;22;7;Total;Portel ;PA;1505809
95 a 99 anos;15;21;Total;Portel ;PA;1505809
90 a 94 anos;36;27;Total;Portel ;PA;1505809
85 a 89 anos;73;71;Total;Portel ;PA;1505809
80 a 84 anos;136;156;Total;Portel ;PA;1505809
75 a 79 anos;244;264;Total;Portel ;PA;1505809
70 a 74 anos;312;400;Total;Portel ;PA;1505809
65 a 69 anos;463;570;Total;Portel ;PA;1505809
60 a 64 anos;593;665;Total;Portel ;PA;1505809
55 a 59 anos;726;758;Total;Portel ;PA;1505809
50 a 54 anos;900;1053;Total;Portel ;PA;1505809
45 a 49 anos;1281;1529;Total;Portel ;PA;1505809
40 a 44 anos;1587;1859;Total;Portel ;PA;1505809
35 a 39 anos;1875;2162;Total;Portel ;PA;1505809
30 a 34 anos;1948;2189;Total;Portel ;PA;1505809
25 a 29 anos;2628;2778;Total;Portel ;PA;1505809
20 a 24 anos;3133;3397;Total;Portel ;PA;1505809
15 a 19 anos;3587;3853;Total;Portel ;PA;1505809
10 a 14 anos;3450;3661;Total;Portel ;PA;1505809
5 a 9 anos;3298;3510;Total;Portel ;PA;1505809
0 a 4 anos;3569;3697;Total;Portel ;PA;1505809
