Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;1;Total;Porto Acre ;AC;1200807
95 a 99 anos;4;4;Total;Porto Acre ;AC;1200807
90 a 94 anos;10;10;Total;Porto Acre ;AC;1200807
85 a 89 anos;31;40;Total;Porto Acre ;AC;1200807
80 a 84 anos;56;76;Total;Porto Acre ;AC;1200807
75 a 79 anos;99;117;Total;Porto Acre ;AC;1200807
70 a 74 anos;166;217;Total;Porto Acre ;AC;1200807
65 a 69 anos;247;289;Total;Porto Acre ;AC;1200807
60 a 64 anos;282;353;Total;Porto Acre ;AC;1200807
55 a 59 anos;368;393;Total;Porto Acre ;AC;1200807
50 a 54 anos;415;479;Total;Porto Acre ;AC;1200807
45 a 49 anos;440;552;Total;Porto Acre ;AC;1200807
40 a 44 anos;593;586;Total;Porto Acre ;AC;1200807
35 a 39 anos;590;533;Total;Porto Acre ;AC;1200807
30 a 34 anos;563;545;Total;Porto Acre ;AC;1200807
25 a 29 anos;574;593;Total;Porto Acre ;AC;1200807
20 a 24 anos;666;723;Total;Porto Acre ;AC;1200807
15 a 19 anos;742;871;Total;Porto Acre ;AC;1200807
10 a 14 anos;724;774;Total;Porto Acre ;AC;1200807
5 a 9 anos;736;787;Total;Porto Acre ;AC;1200807
0 a 4 anos;711;730;Total;Porto Acre ;AC;1200807
