Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;0;Total;Porto Grande ;AP;1600535
95 a 99 anos;1;2;Total;Porto Grande ;AP;1600535
90 a 94 anos;8;9;Total;Porto Grande ;AP;1600535
85 a 89 anos;24;19;Total;Porto Grande ;AP;1600535
80 a 84 anos;40;54;Total;Porto Grande ;AP;1600535
75 a 79 anos;73;94;Total;Porto Grande ;AP;1600535
70 a 74 anos;100;173;Total;Porto Grande ;AP;1600535
65 a 69 anos;182;195;Total;Porto Grande ;AP;1600535
60 a 64 anos;241;331;Total;Porto Grande ;AP;1600535
55 a 59 anos;304;385;Total;Porto Grande ;AP;1600535
50 a 54 anos;392;440;Total;Porto Grande ;AP;1600535
45 a 49 anos;460;525;Total;Porto Grande ;AP;1600535
40 a 44 anos;599;648;Total;Porto Grande ;AP;1600535
35 a 39 anos;632;617;Total;Porto Grande ;AP;1600535
30 a 34 anos;653;633;Total;Porto Grande ;AP;1600535
25 a 29 anos;685;660;Total;Porto Grande ;AP;1600535
20 a 24 anos;787;725;Total;Porto Grande ;AP;1600535
15 a 19 anos;857;899;Total;Porto Grande ;AP;1600535
10 a 14 anos;878;938;Total;Porto Grande ;AP;1600535
5 a 9 anos;881;901;Total;Porto Grande ;AP;1600535
0 a 4 anos;881;921;Total;Porto Grande ;AP;1600535
