Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;5;Total;Primavera ;PA;1506104
95 a 99 anos;2;2;Total;Primavera ;PA;1506104
90 a 94 anos;18;14;Total;Primavera ;PA;1506104
85 a 89 anos;33;29;Total;Primavera ;PA;1506104
80 a 84 anos;66;69;Total;Primavera ;PA;1506104
75 a 79 anos;108;117;Total;Primavera ;PA;1506104
70 a 74 anos;145;151;Total;Primavera ;PA;1506104
65 a 69 anos;193;165;Total;Primavera ;PA;1506104
60 a 64 anos;218;213;Total;Primavera ;PA;1506104
55 a 59 anos;256;263;Total;Primavera ;PA;1506104
50 a 54 anos;280;293;Total;Primavera ;PA;1506104
45 a 49 anos;309;375;Total;Primavera ;PA;1506104
40 a 44 anos;412;425;Total;Primavera ;PA;1506104
35 a 39 anos;442;403;Total;Primavera ;PA;1506104
30 a 34 anos;374;419;Total;Primavera ;PA;1506104
25 a 29 anos;410;394;Total;Primavera ;PA;1506104
20 a 24 anos;406;386;Total;Primavera ;PA;1506104
15 a 19 anos;467;479;Total;Primavera ;PA;1506104
10 a 14 anos;411;461;Total;Primavera ;PA;1506104
5 a 9 anos;430;411;Total;Primavera ;PA;1506104
0 a 4 anos;387;408;Total;Primavera ;PA;1506104
