Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;5;3;Total;Quatipuru ;PA;1506112
95 a 99 anos;4;3;Total;Quatipuru ;PA;1506112
90 a 94 anos;17;9;Total;Quatipuru ;PA;1506112
85 a 89 anos;43;27;Total;Quatipuru ;PA;1506112
80 a 84 anos;69;62;Total;Quatipuru ;PA;1506112
75 a 79 anos;93;104;Total;Quatipuru ;PA;1506112
70 a 74 anos;131;142;Total;Quatipuru ;PA;1506112
65 a 69 anos;192;194;Total;Quatipuru ;PA;1506112
60 a 64 anos;265;266;Total;Quatipuru ;PA;1506112
55 a 59 anos;286;299;Total;Quatipuru ;PA;1506112
50 a 54 anos;333;335;Total;Quatipuru ;PA;1506112
45 a 49 anos;361;394;Total;Quatipuru ;PA;1506112
40 a 44 anos;423;441;Total;Quatipuru ;PA;1506112
35 a 39 anos;433;452;Total;Quatipuru ;PA;1506112
30 a 34 anos;388;366;Total;Quatipuru ;PA;1506112
25 a 29 anos;401;365;Total;Quatipuru ;PA;1506112
20 a 24 anos;423;454;Total;Quatipuru ;PA;1506112
15 a 19 anos;476;563;Total;Quatipuru ;PA;1506112
10 a 14 anos;453;520;Total;Quatipuru ;PA;1506112
5 a 9 anos;453;429;Total;Quatipuru ;PA;1506112
0 a 4 anos;427;420;Total;Quatipuru ;PA;1506112
