Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;27;34;Total;Rio Branco ;AC;1200401
95 a 99 anos;117;75;Total;Rio Branco ;AC;1200401
90 a 94 anos;365;208;Total;Rio Branco ;AC;1200401
85 a 89 anos;751;512;Total;Rio Branco ;AC;1200401
80 a 84 anos;1418;1051;Total;Rio Branco ;AC;1200401
75 a 79 anos;2276;1807;Total;Rio Branco ;AC;1200401
70 a 74 anos;3539;3007;Total;Rio Branco ;AC;1200401
65 a 69 anos;5272;4376;Total;Rio Branco ;AC;1200401
60 a 64 anos;6817;5758;Total;Rio Branco ;AC;1200401
55 a 59 anos;8503;7346;Total;Rio Branco ;AC;1200401
50 a 54 anos;10310;9161;Total;Rio Branco ;AC;1200401
45 a 49 anos;12222;10810;Total;Rio Branco ;AC;1200401
40 a 44 anos;15307;13617;Total;Rio Branco ;AC;1200401
35 a 39 anos;15835;14382;Total;Rio Branco ;AC;1200401
30 a 34 anos;15555;14191;Total;Rio Branco ;AC;1200401
25 a 29 anos;16352;15043;Total;Rio Branco ;AC;1200401
20 a 24 anos;16728;16363;Total;Rio Branco ;AC;1200401
15 a 19 anos;15305;15686;Total;Rio Branco ;AC;1200401
10 a 14 anos;14205;14626;Total;Rio Branco ;AC;1200401
5 a 9 anos;14263;15100;Total;Rio Branco ;AC;1200401
0 a 4 anos;12941;13495;Total;Rio Branco ;AC;1200401
