Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;5;3;Total;Salinópolis ;PA;1506203
95 a 99 anos;16;11;Total;Salinópolis ;PA;1506203
90 a 94 anos;30;25;Total;Salinópolis ;PA;1506203
85 a 89 anos;96;74;Total;Salinópolis ;PA;1506203
80 a 84 anos;200;184;Total;Salinópolis ;PA;1506203
75 a 79 anos;319;294;Total;Salinópolis ;PA;1506203
70 a 74 anos;444;467;Total;Salinópolis ;PA;1506203
65 a 69 anos;642;623;Total;Salinópolis ;PA;1506203
60 a 64 anos;806;776;Total;Salinópolis ;PA;1506203
55 a 59 anos;934;962;Total;Salinópolis ;PA;1506203
50 a 54 anos;1218;1217;Total;Salinópolis ;PA;1506203
45 a 49 anos;1356;1468;Total;Salinópolis ;PA;1506203
40 a 44 anos;1707;1781;Total;Salinópolis ;PA;1506203
35 a 39 anos;1873;1867;Total;Salinópolis ;PA;1506203
30 a 34 anos;1905;1781;Total;Salinópolis ;PA;1506203
25 a 29 anos;1809;1829;Total;Salinópolis ;PA;1506203
20 a 24 anos;1882;2042;Total;Salinópolis ;PA;1506203
15 a 19 anos;1945;1969;Total;Salinópolis ;PA;1506203
10 a 14 anos;1738;1826;Total;Salinópolis ;PA;1506203
5 a 9 anos;1630;1750;Total;Salinópolis ;PA;1506203
0 a 4 anos;1634;1634;Total;Salinópolis ;PA;1506203
