Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;4;0;Total;Santa Maria do Pará ;PA;1506609
95 a 99 anos;11;3;Total;Santa Maria do Pará ;PA;1506609
90 a 94 anos;28;27;Total;Santa Maria do Pará ;PA;1506609
85 a 89 anos;55;58;Total;Santa Maria do Pará ;PA;1506609
80 a 84 anos;138;118;Total;Santa Maria do Pará ;PA;1506609
75 a 79 anos;186;164;Total;Santa Maria do Pará ;PA;1506609
70 a 74 anos;262;256;Total;Santa Maria do Pará ;PA;1506609
65 a 69 anos;394;380;Total;Santa Maria do Pará ;PA;1506609
60 a 64 anos;471;522;Total;Santa Maria do Pará ;PA;1506609
55 a 59 anos;643;639;Total;Santa Maria do Pará ;PA;1506609
50 a 54 anos;770;728;Total;Santa Maria do Pará ;PA;1506609
45 a 49 anos;873;816;Total;Santa Maria do Pará ;PA;1506609
40 a 44 anos;950;858;Total;Santa Maria do Pará ;PA;1506609
35 a 39 anos;1023;915;Total;Santa Maria do Pará ;PA;1506609
30 a 34 anos;1003;928;Total;Santa Maria do Pará ;PA;1506609
25 a 29 anos;1025;1001;Total;Santa Maria do Pará ;PA;1506609
20 a 24 anos;1006;968;Total;Santa Maria do Pará ;PA;1506609
15 a 19 anos;1010;1048;Total;Santa Maria do Pará ;PA;1506609
10 a 14 anos;910;938;Total;Santa Maria do Pará ;PA;1506609
5 a 9 anos;817;895;Total;Santa Maria do Pará ;PA;1506609
0 a 4 anos;898;885;Total;Santa Maria do Pará ;PA;1506609
