Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;23;6;Total;Santana ;AP;1600600
95 a 99 anos;22;22;Total;Santana ;AP;1600600
90 a 94 anos;84;60;Total;Santana ;AP;1600600
85 a 89 anos;214;175;Total;Santana ;AP;1600600
80 a 84 anos;359;356;Total;Santana ;AP;1600600
75 a 79 anos;561;507;Total;Santana ;AP;1600600
70 a 74 anos;786;762;Total;Santana ;AP;1600600
65 a 69 anos;1227;1101;Total;Santana ;AP;1600600
60 a 64 anos;1626;1447;Total;Santana ;AP;1600600
55 a 59 anos;1899;1861;Total;Santana ;AP;1600600
50 a 54 anos;2579;2471;Total;Santana ;AP;1600600
45 a 49 anos;3243;2992;Total;Santana ;AP;1600600
40 a 44 anos;3847;3688;Total;Santana ;AP;1600600
35 a 39 anos;4297;4045;Total;Santana ;AP;1600600
30 a 34 anos;4476;4364;Total;Santana ;AP;1600600
25 a 29 anos;4787;4641;Total;Santana ;AP;1600600
20 a 24 anos;5238;5458;Total;Santana ;AP;1600600
15 a 19 anos;5055;5049;Total;Santana ;AP;1600600
10 a 14 anos;4543;4703;Total;Santana ;AP;1600600
5 a 9 anos;4626;5034;Total;Santana ;AP;1600600
0 a 4 anos;4577;4807;Total;Santana ;AP;1600600
