Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;0;Total;Santarém Novo ;PA;1506906
95 a 99 anos;5;0;Total;Santarém Novo ;PA;1506906
90 a 94 anos;7;7;Total;Santarém Novo ;PA;1506906
85 a 89 anos;16;17;Total;Santarém Novo ;PA;1506906
80 a 84 anos;42;33;Total;Santarém Novo ;PA;1506906
75 a 79 anos;58;50;Total;Santarém Novo ;PA;1506906
70 a 74 anos;84;84;Total;Santarém Novo ;PA;1506906
65 a 69 anos;83;102;Total;Santarém Novo ;PA;1506906
60 a 64 anos;116;119;Total;Santarém Novo ;PA;1506906
55 a 59 anos;138;149;Total;Santarém Novo ;PA;1506906
50 a 54 anos;157;173;Total;Santarém Novo ;PA;1506906
45 a 49 anos;169;220;Total;Santarém Novo ;PA;1506906
40 a 44 anos;202;261;Total;Santarém Novo ;PA;1506906
35 a 39 anos;220;225;Total;Santarém Novo ;PA;1506906
30 a 34 anos;221;256;Total;Santarém Novo ;PA;1506906
25 a 29 anos;245;221;Total;Santarém Novo ;PA;1506906
20 a 24 anos;231;246;Total;Santarém Novo ;PA;1506906
15 a 19 anos;272;288;Total;Santarém Novo ;PA;1506906
10 a 14 anos;216;266;Total;Santarém Novo ;PA;1506906
5 a 9 anos;209;250;Total;Santarém Novo ;PA;1506906
0 a 4 anos;217;238;Total;Santarém Novo ;PA;1506906
