Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Senador Guiomard ;AC;1200450
95 a 99 anos;7;4;Total;Senador Guiomard ;AC;1200450
90 a 94 anos;25;27;Total;Senador Guiomard ;AC;1200450
85 a 89 anos;48;36;Total;Senador Guiomard ;AC;1200450
80 a 84 anos;88;110;Total;Senador Guiomard ;AC;1200450
75 a 79 anos;144;151;Total;Senador Guiomard ;AC;1200450
70 a 74 anos;218;224;Total;Senador Guiomard ;AC;1200450
65 a 69 anos;289;315;Total;Senador Guiomard ;AC;1200450
60 a 64 anos;386;415;Total;Senador Guiomard ;AC;1200450
55 a 59 anos;503;479;Total;Senador Guiomard ;AC;1200450
50 a 54 anos;585;628;Total;Senador Guiomard ;AC;1200450
45 a 49 anos;633;654;Total;Senador Guiomard ;AC;1200450
40 a 44 anos;807;789;Total;Senador Guiomard ;AC;1200450
35 a 39 anos;793;836;Total;Senador Guiomard ;AC;1200450
30 a 34 anos;746;792;Total;Senador Guiomard ;AC;1200450
25 a 29 anos;818;847;Total;Senador Guiomard ;AC;1200450
20 a 24 anos;847;947;Total;Senador Guiomard ;AC;1200450
15 a 19 anos;915;960;Total;Senador Guiomard ;AC;1200450
10 a 14 anos;891;952;Total;Senador Guiomard ;AC;1200450
5 a 9 anos;844;983;Total;Senador Guiomard ;AC;1200450
0 a 4 anos;826;889;Total;Senador Guiomard ;AC;1200450
