Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;4;2;Total;Senador José Porfírio ;PA;1507805
95 a 99 anos;1;0;Total;Senador José Porfírio ;PA;1507805
90 a 94 anos;7;6;Total;Senador José Porfírio ;PA;1507805
85 a 89 anos;18;10;Total;Senador José Porfírio ;PA;1507805
80 a 84 anos;33;39;Total;Senador José Porfírio ;PA;1507805
75 a 79 anos;58;70;Total;Senador José Porfírio ;PA;1507805
70 a 74 anos;103;186;Total;Senador José Porfírio ;PA;1507805
65 a 69 anos;194;273;Total;Senador José Porfírio ;PA;1507805
60 a 64 anos;266;398;Total;Senador José Porfírio ;PA;1507805
55 a 59 anos;376;535;Total;Senador José Porfírio ;PA;1507805
50 a 54 anos;429;588;Total;Senador José Porfírio ;PA;1507805
45 a 49 anos;590;819;Total;Senador José Porfírio ;PA;1507805
40 a 44 anos;713;890;Total;Senador José Porfírio ;PA;1507805
35 a 39 anos;776;948;Total;Senador José Porfírio ;PA;1507805
30 a 34 anos;807;891;Total;Senador José Porfírio ;PA;1507805
25 a 29 anos;831;863;Total;Senador José Porfírio ;PA;1507805
20 a 24 anos;877;1027;Total;Senador José Porfírio ;PA;1507805
15 a 19 anos;1067;1124;Total;Senador José Porfírio ;PA;1507805
10 a 14 anos;1173;1192;Total;Senador José Porfírio ;PA;1507805
5 a 9 anos;1010;1219;Total;Senador José Porfírio ;PA;1507805
0 a 4 anos;1048;1115;Total;Senador José Porfírio ;PA;1507805
