Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;1;Total;Serra do Navio ;AP;1600055
95 a 99 anos;4;0;Total;Serra do Navio ;AP;1600055
90 a 94 anos;6;4;Total;Serra do Navio ;AP;1600055
85 a 89 anos;3;5;Total;Serra do Navio ;AP;1600055
80 a 84 anos;9;5;Total;Serra do Navio ;AP;1600055
75 a 79 anos;12;18;Total;Serra do Navio ;AP;1600055
70 a 74 anos;23;24;Total;Serra do Navio ;AP;1600055
65 a 69 anos;40;47;Total;Serra do Navio ;AP;1600055
60 a 64 anos;60;74;Total;Serra do Navio ;AP;1600055
55 a 59 anos;69;104;Total;Serra do Navio ;AP;1600055
50 a 54 anos;110;115;Total;Serra do Navio ;AP;1600055
45 a 49 anos;128;134;Total;Serra do Navio ;AP;1600055
40 a 44 anos;159;174;Total;Serra do Navio ;AP;1600055
35 a 39 anos;190;187;Total;Serra do Navio ;AP;1600055
30 a 34 anos;199;192;Total;Serra do Navio ;AP;1600055
25 a 29 anos;198;202;Total;Serra do Navio ;AP;1600055
20 a 24 anos;182;225;Total;Serra do Navio ;AP;1600055
15 a 19 anos;218;250;Total;Serra do Navio ;AP;1600055
10 a 14 anos;191;211;Total;Serra do Navio ;AP;1600055
5 a 9 anos;200;212;Total;Serra do Navio ;AP;1600055
0 a 4 anos;257;230;Total;Serra do Navio ;AP;1600055
