Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;6;2;Total;São Caetano de Odivelas ;PA;1507102
95 a 99 anos;5;4;Total;São Caetano de Odivelas ;PA;1507102
90 a 94 anos;22;16;Total;São Caetano de Odivelas ;PA;1507102
85 a 89 anos;54;36;Total;São Caetano de Odivelas ;PA;1507102
80 a 84 anos;91;96;Total;São Caetano de Odivelas ;PA;1507102
75 a 79 anos;148;147;Total;São Caetano de Odivelas ;PA;1507102
70 a 74 anos;195;199;Total;São Caetano de Odivelas ;PA;1507102
65 a 69 anos;337;318;Total;São Caetano de Odivelas ;PA;1507102
60 a 64 anos;337;360;Total;São Caetano de Odivelas ;PA;1507102
55 a 59 anos;370;390;Total;São Caetano de Odivelas ;PA;1507102
50 a 54 anos;491;493;Total;São Caetano de Odivelas ;PA;1507102
45 a 49 anos;472;554;Total;São Caetano de Odivelas ;PA;1507102
40 a 44 anos;606;656;Total;São Caetano de Odivelas ;PA;1507102
35 a 39 anos;640;668;Total;São Caetano de Odivelas ;PA;1507102
30 a 34 anos;662;604;Total;São Caetano de Odivelas ;PA;1507102
25 a 29 anos;633;639;Total;São Caetano de Odivelas ;PA;1507102
20 a 24 anos;595;632;Total;São Caetano de Odivelas ;PA;1507102
15 a 19 anos;683;738;Total;São Caetano de Odivelas ;PA;1507102
10 a 14 anos;671;685;Total;São Caetano de Odivelas ;PA;1507102
5 a 9 anos;590;665;Total;São Caetano de Odivelas ;PA;1507102
0 a 4 anos;585;571;Total;São Caetano de Odivelas ;PA;1507102
