Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;1;Total;São Francisco do Pará ;PA;1507409
95 a 99 anos;12;6;Total;São Francisco do Pará ;PA;1507409
90 a 94 anos;20;15;Total;São Francisco do Pará ;PA;1507409
85 a 89 anos;42;37;Total;São Francisco do Pará ;PA;1507409
80 a 84 anos;87;97;Total;São Francisco do Pará ;PA;1507409
75 a 79 anos;125;119;Total;São Francisco do Pará ;PA;1507409
70 a 74 anos;182;183;Total;São Francisco do Pará ;PA;1507409
65 a 69 anos;277;275;Total;São Francisco do Pará ;PA;1507409
60 a 64 anos;312;359;Total;São Francisco do Pará ;PA;1507409
55 a 59 anos;390;397;Total;São Francisco do Pará ;PA;1507409
50 a 54 anos;419;421;Total;São Francisco do Pará ;PA;1507409
45 a 49 anos;464;446;Total;São Francisco do Pará ;PA;1507409
40 a 44 anos;577;571;Total;São Francisco do Pará ;PA;1507409
35 a 39 anos;587;569;Total;São Francisco do Pará ;PA;1507409
30 a 34 anos;558;574;Total;São Francisco do Pará ;PA;1507409
25 a 29 anos;525;513;Total;São Francisco do Pará ;PA;1507409
20 a 24 anos;588;567;Total;São Francisco do Pará ;PA;1507409
15 a 19 anos;596;662;Total;São Francisco do Pará ;PA;1507409
10 a 14 anos;601;617;Total;São Francisco do Pará ;PA;1507409
5 a 9 anos;492;564;Total;São Francisco do Pará ;PA;1507409
0 a 4 anos;493;553;Total;São Francisco do Pará ;PA;1507409
