Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;0;Total;São João da Ponta ;PA;1507466
95 a 99 anos;7;2;Total;São João da Ponta ;PA;1507466
90 a 94 anos;7;4;Total;São João da Ponta ;PA;1507466
85 a 89 anos;19;11;Total;São João da Ponta ;PA;1507466
80 a 84 anos;28;24;Total;São João da Ponta ;PA;1507466
75 a 79 anos;51;42;Total;São João da Ponta ;PA;1507466
70 a 74 anos;47;68;Total;São João da Ponta ;PA;1507466
65 a 69 anos;79;99;Total;São João da Ponta ;PA;1507466
60 a 64 anos;104;124;Total;São João da Ponta ;PA;1507466
55 a 59 anos;93;112;Total;São João da Ponta ;PA;1507466
50 a 54 anos;122;139;Total;São João da Ponta ;PA;1507466
45 a 49 anos;125;144;Total;São João da Ponta ;PA;1507466
40 a 44 anos;136;160;Total;São João da Ponta ;PA;1507466
35 a 39 anos;165;132;Total;São João da Ponta ;PA;1507466
30 a 34 anos;168;144;Total;São João da Ponta ;PA;1507466
25 a 29 anos;145;150;Total;São João da Ponta ;PA;1507466
20 a 24 anos;139;172;Total;São João da Ponta ;PA;1507466
15 a 19 anos;174;201;Total;São João da Ponta ;PA;1507466
10 a 14 anos;203;203;Total;São João da Ponta ;PA;1507466
5 a 9 anos;167;177;Total;São João da Ponta ;PA;1507466
0 a 4 anos;163;179;Total;São João da Ponta ;PA;1507466
