Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;11;2;Total;São João de Pirabas ;PA;1507474
95 a 99 anos;6;7;Total;São João de Pirabas ;PA;1507474
90 a 94 anos;30;31;Total;São João de Pirabas ;PA;1507474
85 a 89 anos;61;43;Total;São João de Pirabas ;PA;1507474
80 a 84 anos;127;99;Total;São João de Pirabas ;PA;1507474
75 a 79 anos;184;224;Total;São João de Pirabas ;PA;1507474
70 a 74 anos;226;273;Total;São João de Pirabas ;PA;1507474
65 a 69 anos;340;360;Total;São João de Pirabas ;PA;1507474
60 a 64 anos;442;400;Total;São João de Pirabas ;PA;1507474
55 a 59 anos;419;472;Total;São João de Pirabas ;PA;1507474
50 a 54 anos;550;550;Total;São João de Pirabas ;PA;1507474
45 a 49 anos;567;720;Total;São João de Pirabas ;PA;1507474
40 a 44 anos;744;769;Total;São João de Pirabas ;PA;1507474
35 a 39 anos;769;811;Total;São João de Pirabas ;PA;1507474
30 a 34 anos;762;771;Total;São João de Pirabas ;PA;1507474
25 a 29 anos;739;813;Total;São João de Pirabas ;PA;1507474
20 a 24 anos;750;781;Total;São João de Pirabas ;PA;1507474
15 a 19 anos;919;932;Total;São João de Pirabas ;PA;1507474
10 a 14 anos;841;967;Total;São João de Pirabas ;PA;1507474
5 a 9 anos;792;834;Total;São João de Pirabas ;PA;1507474
0 a 4 anos;752;799;Total;São João de Pirabas ;PA;1507474
