Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;8;15;Total;Tefé ;AM;1304203
95 a 99 anos;23;11;Total;Tefé ;AM;1304203
90 a 94 anos;51;36;Total;Tefé ;AM;1304203
85 a 89 anos;110;116;Total;Tefé ;AM;1304203
80 a 84 anos;192;205;Total;Tefé ;AM;1304203
75 a 79 anos;308;316;Total;Tefé ;AM;1304203
70 a 74 anos;436;488;Total;Tefé ;AM;1304203
65 a 69 anos;629;684;Total;Tefé ;AM;1304203
60 a 64 anos;832;847;Total;Tefé ;AM;1304203
55 a 59 anos;1012;1065;Total;Tefé ;AM;1304203
50 a 54 anos;1302;1411;Total;Tefé ;AM;1304203
45 a 49 anos;1650;1834;Total;Tefé ;AM;1304203
40 a 44 anos;2208;2325;Total;Tefé ;AM;1304203
35 a 39 anos;2426;2625;Total;Tefé ;AM;1304203
30 a 34 anos;2604;2605;Total;Tefé ;AM;1304203
25 a 29 anos;3034;3077;Total;Tefé ;AM;1304203
20 a 24 anos;3679;3699;Total;Tefé ;AM;1304203
15 a 19 anos;4019;4316;Total;Tefé ;AM;1304203
10 a 14 anos;3663;3862;Total;Tefé ;AM;1304203
5 a 9 anos;3748;3884;Total;Tefé ;AM;1304203
0 a 4 anos;4024;4290;Total;Tefé ;AM;1304203
