Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;2;0;Total;Terra Alta ;PA;1507961
95 a 99 anos;6;3;Total;Terra Alta ;PA;1507961
90 a 94 anos;16;9;Total;Terra Alta ;PA;1507961
85 a 89 anos;31;27;Total;Terra Alta ;PA;1507961
80 a 84 anos;67;59;Total;Terra Alta ;PA;1507961
75 a 79 anos;83;93;Total;Terra Alta ;PA;1507961
70 a 74 anos;120;142;Total;Terra Alta ;PA;1507961
65 a 69 anos;159;164;Total;Terra Alta ;PA;1507961
60 a 64 anos;197;219;Total;Terra Alta ;PA;1507961
55 a 59 anos;243;254;Total;Terra Alta ;PA;1507961
50 a 54 anos;301;275;Total;Terra Alta ;PA;1507961
45 a 49 anos;312;363;Total;Terra Alta ;PA;1507961
40 a 44 anos;365;393;Total;Terra Alta ;PA;1507961
35 a 39 anos;384;413;Total;Terra Alta ;PA;1507961
30 a 34 anos;376;364;Total;Terra Alta ;PA;1507961
25 a 29 anos;388;389;Total;Terra Alta ;PA;1507961
20 a 24 anos;406;383;Total;Terra Alta ;PA;1507961
15 a 19 anos;415;453;Total;Terra Alta ;PA;1507961
10 a 14 anos;428;474;Total;Terra Alta ;PA;1507961
5 a 9 anos;413;424;Total;Terra Alta ;PA;1507961
0 a 4 anos;391;396;Total;Terra Alta ;PA;1507961
