Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;1;2;Total;Tracuateua ;PA;1508035
95 a 99 anos;12;12;Total;Tracuateua ;PA;1508035
90 a 94 anos;31;22;Total;Tracuateua ;PA;1508035
85 a 89 anos;86;66;Total;Tracuateua ;PA;1508035
80 a 84 anos;121;118;Total;Tracuateua ;PA;1508035
75 a 79 anos;194;227;Total;Tracuateua ;PA;1508035
70 a 74 anos;280;319;Total;Tracuateua ;PA;1508035
65 a 69 anos;425;445;Total;Tracuateua ;PA;1508035
60 a 64 anos;525;612;Total;Tracuateua ;PA;1508035
55 a 59 anos;636;631;Total;Tracuateua ;PA;1508035
50 a 54 anos;670;728;Total;Tracuateua ;PA;1508035
45 a 49 anos;792;957;Total;Tracuateua ;PA;1508035
40 a 44 anos;967;1093;Total;Tracuateua ;PA;1508035
35 a 39 anos;1079;1127;Total;Tracuateua ;PA;1508035
30 a 34 anos;1080;1127;Total;Tracuateua ;PA;1508035
25 a 29 anos;1024;1003;Total;Tracuateua ;PA;1508035
20 a 24 anos;1070;1123;Total;Tracuateua ;PA;1508035
15 a 19 anos;1353;1442;Total;Tracuateua ;PA;1508035
10 a 14 anos;1299;1384;Total;Tracuateua ;PA;1508035
5 a 9 anos;1188;1242;Total;Tracuateua ;PA;1508035
0 a 4 anos;1058;1024;Total;Tracuateua ;PA;1508035
