Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município;codMun
100 anos ou mais;3;1;Total;Uarini ;AM;1304260
95 a 99 anos;1;3;Total;Uarini ;AM;1304260
90 a 94 anos;7;10;Total;Uarini ;AM;1304260
85 a 89 anos;15;17;Total;Uarini ;AM;1304260
80 a 84 anos;22;41;Total;Uarini ;AM;1304260
75 a 79 anos;44;55;Total;Uarini ;AM;1304260
70 a 74 anos;51;79;Total;Uarini ;AM;1304260
65 a 69 anos;110;123;Total;Uarini ;AM;1304260
60 a 64 anos;103;165;Total;Uarini ;AM;1304260
55 a 59 anos;169;186;Total;Uarini ;AM;1304260
50 a 54 anos;189;293;Total;Uarini ;AM;1304260
45 a 49 anos;267;365;Total;Uarini ;AM;1304260
40 a 44 anos;399;436;Total;Uarini ;AM;1304260
35 a 39 anos;438;508;Total;Uarini ;AM;1304260
30 a 34 anos;497;541;Total;Uarini ;AM;1304260
25 a 29 anos;571;604;Total;Uarini ;AM;1304260
20 a 24 anos;693;782;Total;Uarini ;AM;1304260
15 a 19 anos;860;910;Total;Uarini ;AM;1304260
10 a 14 anos;807;890;Total;Uarini ;AM;1304260
5 a 9 anos;725;759;Total;Uarini ;AM;1304260
0 a 4 anos;817;875;Total;Uarini ;AM;1304260
